Area Affected,Event Type,Demand Loss (MW)
Texas: Kleberg County;,Transmission Interruption,13
Texas: Cameron County;,Suspicious Activity,0
Texas:,Severe Weather,Unknown
Texas:,Fuel Supply Deficiency,Unknown
Texas:,Severe Weather,Unknown
Texas:,Severe Weather,7214
Texas:,Severe Weather,Unknown
Arkansas: Louisiana: Texas: Oklahoma:,Severe Weather,461
North Dakota: South Dakota: Nebraska: Kansas: Oklahoma: Texas:,Severe Weather,3000
Oklahoma:,Severe Weather,Unknown
"Texas: Hidalgo County, Cameron County;",Severe Weather,Unknown
Texas: Harris County;,Severe Weather,4966
Texas: Travis County;,System Operations,0
Texas:,Severe Weather,500
Texas:,Severe Weather,300
Texas:,Severe Weather,Unknown
Texas:,Severe Weather,524
Texas:,Severe Weather,7214
Texas: Travis County;,Severe Weather,Unknown
Texas: Travis County;,Severe Weather,724
Texas: Bexar County;,Severe Weather,Unknown
Texas:,Severe Weather,Unknown
Texas:,Severe Weather,Unknown
Oklahoma:,Fuel Supply Deficiency,0
Oklahoma:,Severe Weather,350
Texas: Lubbock County;,Severe Weather,116
Texas:,Severe Weather,Unknown
Texas:,Severe Weather,800
Texas: Arkansas:,Severe Weather,Unknown
"Texas: Austin County, Bastrop County, Burleson County, Caldwell County, Colorado County, Fayette County, Gonzales County, Guadalupe County, Hays County, Lee County, Milam County, Travis County, Washington County, Williamson County;",Severe Weather,107
Oklahoma: Kay County;,Fuel Supply Deficiency,0
Texas:,Severe Weather,Unknown
Texas:,Severe Weather,360
Texas: Randall County;,Severe Weather,0
Texas:,Severe Weather,300
Texas:,Severe Weather,500
Texas: Travis County;,System Operations,0
Texas:,Fuel Supply Deficiency,Unknown
Texas:,System Operations,0
Louisiana: Texas: Illinois:,Severe Weather,1420
Louisiana: Arkansas: Texas: Mississippi:,Severe Weather,700
Texas:,Severe Weather,538
Texas:,Severe Weather,168
New Jersey: Pennsylvania: Texas: California: Illinois: Colorado:,Cyber Event,Unknown
Louisiana: Texas:,Severe Weather,402
Texas:,Severe Weather,300
Texas:,Severe Weather,Unknown
Texas: Travis County;,System Operations,0
Louisiana: Texas:,Severe Weather,402
Texas:,Cyber Event,Unknown
Texas:,System Operations,0
