Overall Rank,State,Total Energy Cost,Monthly Electricity Cost
1,Wyoming, $738 , $114 
2,Alaska, $625 , $154 
3,North Dakota, $611 , $137 
4,Connecticut, $611 , $177 
5,Massachusetts, $577 , $141 
6,Oklahoma, $576 , $131 
7,Vermont, $571 , $134 
8,New Hampshire, $550 , $141 
9,Indiana, $550 , $135 
10,West Virginia, $537 , $146 
11,Rhode Island, $533 , $139 
12,Utah, $532 , $91 
13,Maine, $516 , $121 
14,South Dakota, $516 , $143 
15,Virgina, $514 , $145 
16,Colorado, $509 , $99 
17,Iowa, $503 , $119 
18,Montana, $503 , $116 
19,Maryland, $499 , $133 
20,New Jersey, $492 , $121 
21,Minnesota, $491 , $114 
22,Alabama, $490 , $174 
23,Ohio, $486 , $114 
24,Hawaii, $484 , $154 
25,South Carolinga, $482 , $167 
26,Wisconsin, $481 , $115 
27,Georgia, $480 , $152 
28,Mississippi, $479 , $150 
29,Michigan, $477 , $122 
30,Pennsylvania, $469 , $123 
31,Kentucky, $467 , $134 
32,Idaho, $465 , $115 
33,Missouri, $458 , $134 
34,North Carolina, $457 , $138 
35,Tennessee, $449 , $140 
36,Nevada, $449 , $120 
37,Washington, $449 , $104 
38,Florida, $445 , $158 
39,Delaware, $445 , $141 
40,Illinois, $441 , $103 
41,New York, $441 , $108 
42,Orego, $431 , $111 
43,Arkansas, $430 , $133 
44,California, $430 , $123 
45,Louisiana, $419 , $140 
46,Texas, $416 , $154 
47,Arizona, $403 , $150 
48,Kansas, $396 , $127 
49,Nebraska, $390 , $123 
50,New Mexico, $377 , $99 
51,District of Columbia, $277 , $90 
